SubjectID,StimulusType,response,RT
9,1,1,1253
9,1,1,340
9,1,1,414
9,0,0,0
9,1,1,462
9,1,1,570
9,1,1,327
9,1,1,341
9,1,1,344
9,1,1,291
9,1,1,412
9,0,0,0
9,0,0,0
9,1,1,359
9,1,1,396
9,1,1,361
9,1,1,340
9,1,1,310
9,1,1,393
9,1,1,377
9,1,1,376
9,1,1,362
9,0,0,0
9,1,1,378
9,1,1,357
9,0,0,0
9,1,1,460
9,1,0,0
9,0,0,0
9,0,0,0
9,1,1,342
9,1,1,362
9,1,1,359
9,0,0,0
9,1,1,425
9,0,0,0
9,1,1,308
9,1,1,390
9,1,1,343
9,0,0,0
9,1,1,461
9,1,1,394
9,1,1,409
9,1,1,342
9,0,0,0
9,1,1,345
9,1,1,392
9,1,1,375
9,1,1,295
9,1,1,410
9,1,1,361
9,1,1,309
9,1,1,395
9,1,1,275
9,1,1,322
9,1,1,395
9,1,1,345
9,1,1,359
9,1,1,293
9,1,1,309
9,1,1,307
9,1,1,460
9,0,0,0
9,1,1,325
9,1,1,396
9,0,0,0
9,0,0,0
9,1,1,375
9,1,1,343
9,1,1,341
9,0,0,0
9,0,0,0
9,1,1,309
9,1,1,359
9,1,1,345
9,1,1,293
9,1,1,293
9,1,1,308
9,1,1,309
9,0,0,0
9,1,1,345
9,1,1,339
9,1,1,310
9,1,1,378
9,1,1,310
9,1,1,309
9,1,1,291
9,1,1,290
9,1,1,308
9,1,1,360
9,0,0,0
9,0,0,0
9,1,1,441
9,1,1,292
9,1,1,510
9,1,1,360
9,1,1,326
9,1,1,292
9,1,1,309
9,0,0,0
